# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.5544048080577375,2.9232211847882357,179.99965382615386,0,3.0,-0.0019723960253198555,180.0,0.0,0.0
 0.06399192567397285,2.5482623582306547,2.92322122190014,179.99965382615386,0.19197577702191856,3.0,-0.0019723960253198555,180.0,-0.026225340919219072,0.0
 0.09040823621281696,2.5421443342961867,2.9232213328389327,179.99896104940416,0.2712247086384509,3.0,-0.0019801541298081547,180.0,-0.0342794780848066,0.0
 0.11061665509387998,2.536050741485401,2.9232215170092366,179.998268315352,0.33184996528163996,3.000000000000001,-0.001987991562610852,180.0,-0.040782926936385785,0.0
 0.12760152307792005,2.5299815850293643,2.923221773815674,179.99757562272197,0.3828045692337602,3.0000000000000027,-0.001995893846762311,180.0,-0.04642907938633206,0.0
 0.1425200288073507,2.5239368701591447,2.9232221026628658,179.99688297023513,0.4275600864220522,3.0,-0.002003877563142753,180.0,-0.05150991842762099,0.0
 0.15596624845035592,2.5179166021058075,2.923222502955434,179.99619035655817,0.4678987453510678,2.999999999999998,-0.0020119280178289103,180.0,-0.056182813039780476,0.0
 0.16829343819138132,2.511920786100421,2.923222974098001,179.99549778036163,0.504880314574144,2.999999999999998,-0.0020200300158903675,180.0,-0.06054440016042945,2.484730341151897e-12
 0.17973198705911397,2.5059494273740524,2.923223515495188,179.99480524028172,0.5391959611773419,3.0,-0.002028232513373453,180.00000000000003,-0.0646591530201774,-2.6537321102258336e-12
 0.19044207694380294,2.5000025311577683,2.923224126551617,179.994112734941,0.5713262308314088,2.9999999999999947,-0.0020364882754887966,180.0,-0.06857266096361748,0.0
 0.20054044566319307,2.494080102682636,2.9232248066719104,179.99342026292655,0.6016213369895792,3.0000000000000053,-0.0020448306563765417,180.0,-0.07231857932379077,0.0
 0.21011530337826195,2.4881821471797223,2.92322555526069,179.99272782281935,0.6303459101347859,3.0000000000000058,-0.0020532609668218486,180.0,-0.07592260378344154,0.0
 0.21923524416629614,2.482308669880095,2.923226371722577,179.9920354131684,0.6577057324988885,3.000000000000006,-0.002061730400326708,180.0,-0.07940488431155958,0.0
 0.227954867402915,2.4764596760148208,2.9232272554621934,179.99134303249403,0.6838646022087451,2.999999999999997,-0.0020703064714754447,180.0,-0.08278157275730431,3.3982565764702915e-12
 0.23631848233040384,2.4706351708149668,2.9232282058841617,179.9906506792964,0.7089554469912115,2.9999999999999867,-0.002078956985989191,180.00000000000003,-0.08606585720733398,-3.533211808269754e-12
 0.24436263902768443,2.4648351595116,2.923229222393103,179.98995835205474,0.7330879170830532,2.999999999999993,-0.0020876829162286307,180.0,-0.0892686774319668,0.0
 0.252117910650323,2.4590596473357875,2.92323030439364,179.98926604921388,0.756353731950969,3.0000000000000036,-0.002096485251563131,180.0,-0.09239922831161189,0.0
 0.2596101811531757,2.453308639518597,2.9232314512903934,179.9885737692011,0.7788305434595271,3.0000000000000075,-0.0021053824372948,180.0,-0.09546533487743061,0.0
 0.2668615965791609,2.4475821412910945,2.9232326624879867,179.98788151039912,0.8005847897374827,2.9999999999999925,-0.00211435836032486,180.0,-0.09847371559440621,-4.043098610061387e-12
 0.2738912815241869,2.441880157884348,2.92323393739104,179.98718927120314,0.8216738445725605,2.999999999999984,-0.002123396327951881,179.99999999999997,-0.10143021068725991,4.164593163390398e-12
 0.28071588799001174,2.4362026945294244,2.923235275404176,179.98649704993144,0.842147663970035,3.0,-0.00213255063145179,180.0,-0.10433992020711481,0.0
 0.28735002221513345,2.430549756457391,2.9232366759320167,179.98580484489574,0.8620500666454002,3.0,-0.002141769133310995,180.0,-0.10720734068288815,0.0
 0.2938065811024088,2.424921348899314,2.923238138379184,179.98511265438748,0.8814197433072263,3.0,-0.0021510888913501914,180.0,-0.11003646453616432,0.0
 0.30009702061039023,2.4193174770862615,2.923239662150299,179.98442047666364,0.9002910618311706,3.000000000000009,-0.002160493142178925,180.0,-0.11283086116719,4.633054095526637e-12
 0.3062315722138015,2.4137381462493006,2.9232412466499853,179.98372830992335,0.9186947166414043,3.0,-0.002169983038710498,180.00000000000003,-0.11559372333949694,-4.746565738297294e-12
 0.31221941921675894,2.4081833616194976,2.9232428912828623,179.9830361523935,0.9366582576502767,2.9999999999999907,-0.0021795597549286823,180.0,-0.11832795521362538,-4.858891570325446e-12
 0.31806884166610583,2.4026531284279202,2.9232445954535535,179.98234400219587,0.9542065249983173,2.9999999999999907,-0.0021892433517585633,179.99999999999997,-0.12103617269025778,0.0
 0.32378733644458546,2.3971474519056346,2.9232463585666806,179.98165185747433,0.9713620093337563,3.0000000000000195,-0.002199016519933992,179.99999999999997,-0.12372077267896046,1.0160805593633367e-11
 0.3293817175531489,2.3916663372837097,2.923248180026865,179.98095971632094,0.9881451526594466,3.0000000000000098,-0.002208918918190373,180.00000000000003,-0.1263839495944242,-5.189774171630214e-12
 0.33485820043862213,2.386209789793211,2.9232500592387294,179.980267576784,1.0045746013158663,2.99999999999999,-0.0022188559617182598,180.0,-0.129027715165547,0.0
 0.3402224733657157,2.380777814665206,2.9232519956068943,179.97957543690467,1.0206674200971468,2.999999999999969,-0.002228944707828727,180.0,-0.13165393959564567,0.0
 0.3454797581878705,2.3753704171307626,2.9232539885359827,179.97888329464627,1.0364392745636113,3.0,-0.002239128871919176,180.0,-0.13426434224126646,0.0
