# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.925,4.42,179.97807301058978,0,3.0,-0.19578782149668728,180.0,0.0,0.0
 0.05012398695718238,2.9212313791732463,4.4200014422443274,179.97807301058978,0.15037196087154714,3.0,-0.19578782149668728,180.0,-2.025111639721072,0.0
 0.0711634437203702,2.917403649120747,4.420005753552237,179.93546576180523,0.21349033116111063,3.000000000000001,-0.18547764104825182,180.0,-2.5100641824796432,0.0
 0.08749299420184597,2.913517473243146,4.420012910786118,179.89447754202567,0.262478982605538,3.0000000000000018,-0.17591957171432707,180.0,-2.835159105524755,0.0
 0.10141172509678488,2.909573514941089,4.420022890808362,179.85501572539152,0.30423517529035465,2.999999999999997,-0.1670455441300918,180.0,-3.0677129367564318,0.0
 0.11380569615499733,2.9055724376152186,4.42003567048136,179.81699458003848,0.341417088464992,3.0000000000000013,-0.15879479829215268,180.0,-3.2381238752769548,0.0
 0.12512704872879063,2.90151490466618,4.420051226667501,179.78033463796885,0.3753811461863719,3.0,-0.15111297604665716,180.0,-3.36370140731567,0.0
 0.13564299565948296,2.897401579494618,4.420069536229176,179.7449621324788,0.40692898697844887,2.9999999999999973,-0.1439513522009738,180.0,-3.455542337842923,2.875606491415141e-12
 0.14552672262812572,2.8932331255011756,4.420090576028775,179.710808495483,0.43658016788437715,3.0,-0.1372661566991526,180.00000000000003,-3.5212953390507336,-3.0328943308576626e-12
 0.15489787319583004,2.889010206086499,4.42011432292869,179.6778099066674,0.46469361958749017,3.0000000000000058,-0.1310179979788722,180.0,-3.566495040624203,0.0
 0.16384307489989308,2.8847334846512314,4.420140753791311,179.64590688915249,0.4915292246996793,3.0,-0.12517135868776869,180.0,-3.5952874542934894,0.0
 0.1724273519958607,2.880403624596018,4.420169845479027,179.61504394540515,0.5172820559875821,2.999999999999997,-0.11969415623026894,180.0,-3.610859268147462,0.0
 0.18070092734016732,2.8760212893215025,4.4202015748542305,179.58516922919247,0.542102782020502,3.0,-0.11455735638250322,180.0,-3.6157085362439414,0.0
 0.188703502539586,2.871587142228329,4.420235918779309,179.556234249732,0.5661105076187581,3.00000000000001,-0.10973464911324993,180.0,-3.611824094173511,3.660907612963878e-12
 0.1964670716965235,2.867101846717143,4.420272854116658,179.5281936035942,0.5894012150895707,3.000000000000007,-0.1052021432810176,180.00000000000003,-3.600809029992731,-3.764082285922307e-12
 0.20401783899422615,2.862566066188588,4.420312357728662,179.50100473252525,0.6120535169826786,3.0,-0.10093811730416095,180.0,-3.5839686630038208,0.0
 0.2113775656196694,2.857980464043309,4.420354406477716,179.47462770293137,0.6341326968590084,3.000000000000011,-0.09692278778862641,180.0,-3.56237458073958,0.0
 0.21856454048696827,2.85334570368195,4.420398977226209,179.4490250063517,0.655693621460905,2.999999999999996,-0.09313811350023363,180.0,-3.5369126145062633,0.0
 0.22559429550646098,2.8486624485051557,4.420446046836529,179.42416137714636,0.6767828865193831,2.999999999999992,-0.08956761577138184,180.0,-3.5083191811954344,-4.127554364541583e-12
 0.23248014289215874,2.84393136191357,4.420495592171071,179.4000036266843,0.6974404286764764,3.0,-0.08619622097387493,179.99999999999997,-3.4772093713460412,4.2084771113069255e-12
