# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 2.5340694001391837,2.8338149457566915,0.9436914236885087,-5.867279884313379,2.0107628053114777,-3.0000000000001132,0.02668449256405161,146.41363481516342,3.071129702520222,-62.33076295917654
 2.5380025599519174,2.8416592533224274,0.94288699179292,-5.855200640387733,1.9989633258732769,-2.9999999999999436,0.027381897385461217,146.16847796319536,3.1330323142607774,-61.75516198610714
 2.5419434041737174,2.8494727566804263,0.9420874202799365,-5.842853848095365,1.9871407932078766,-3.0,0.028104630145516053,145.92511048991608,3.19684392470838,-61.17700994999227
 2.545891613872797,2.8572545600526658,0.9412928248729532,-5.830232037905388,1.9752961641106372,-2.999999999999972,0.02885394274869612,145.68357082587082,3.2626543963789243,-60.59636804266864
 2.5498468626878665,2.8650037676611224,0.9405033212953656,-5.81732742797013,1.96343041766543,-3.000000000000028,0.02963116960648566,145.44389711297256,3.3305585406361398,-60.01329691058495
 2.5538088165669857,2.8727194837277743,0.939719025270569,-5.804131908640422,1.9515445560280718,-2.999999999999972,0.030437719479593686,145.20612719847892,3.400656471261838,-59.427856596265826
 2.5577771334972987,2.8804008124745986,0.9389400525219589,-5.790637025991336,1.9396396052371332,-3.0,0.03127508681148928,144.97029862901576,3.473053975988758,-58.840106475923655
 2.56175146322533,2.8880468581235728,0.9381665187729304,-5.776833964327507,1.9277166160530392,-2.999999999999972,0.03214485780618335,144.73644864464796,3.5478629237912833,-58.25010519275954
 2.5657314469675367,2.8956567248966736,0.9373985397468791,-5.762713527571239,1.9157766648264185,-3.000000000000028,0.03304871649497589,144.50461417299894,3.625201702940784,-57.65791058571828
 2.56971671711079,2.903229517015879,0.9366362311672003,-5.748266119461239,1.9038208543966597,-3.000000000000028,0.03398845223793242,144.27483182341933,3.7051956960048527,-57.06357961344124
 2.5737068969024532,2.9107643387031663,0.9358797087572893,-5.733481722470882,1.8918503150216692,-3.0,0.03496596627792986,144.0471378812058,3.7879777948377837,-56.46716827267218
 2.5777016001297373,2.918260294180513,0.9351290882405415,-5.718349875348963,1.8798662053398172,-3.0,0.035983283851418926,143.82156830187137,3.8736889593520476,-55.86873151114414
 2.58170043078798,2.9257164876698964,0.9343844853403522,-5.7028596491778085,1.8678697133650881,-3.0,0.03704255840623352,143.59815870546745,3.9624788242587323,-55.26832313404528
 2.5857029827375246,2.933132023393294,0.933646015780117,-5.686999621834743,1.8558620575164544,-3.0,0.03814608685657838,143.37694437095922,4.054506356533397,-54.66599570389863
 2.589708839348843,2.940506005572683,0.9329137952832308,-5.670757850740791,1.843844487682499,-2.9999999999999725,0.03929631748151423,143.15796023065445,4.149940577492345,-54.06180043298403
 2.59371757313557,2.9478375384300404,0.9321879395730893,-5.654121843734889,1.831818286322319,-3.0,0.040495862419059205,142.94124086468747,4.248961337937728,-53.45578706795651
 2.5977287453750963,2.9551257261873443,0.9314685643730878,-5.637078527969333,1.81978476960374,-3.0000000000000275,0.041747511465121935,142.72682049555846,4.351760175484022,-52.848003765772305
 2.601741905716387,2.962369673066572,0.9307557854066216,-5.619614216618274,1.8077452885798693,-2.9999999999999445,0.04305424674299925,142.5147329827293,4.458541240905018,-52.238496960266495
